layer_height;wall_thickness;infill_density;infill_pattern;nozzle_temperature;bed_temperature;print_speed;material;fan_speed;roughness;tension_strenght;elongation
0.02;8;90;grid;220;60;40;abs;0;25;18;1.2
0.02;7;90;honeycomb;225;65;40;abs;25;32;16;1.4
0.02;1;80;grid;230;70;40;abs;50;40;8;0.8
0.02;4;70;honeycomb;240;75;40;abs;75;68;10;0.5
0.02;6;90;grid;250;80;40;abs;100;92;5;0.7
0.02;10;40;honeycomb;200;60;40;pla;0;60;24;1.1
0.02;5;10;grid;205;65;40;pla;25;55;12;1.3
0.02;10;10;honeycomb;210;70;40;pla;50;21;14;1.5
0.02;9;70;grid;215;75;40;pla;75;24;27;1.4
0.02;8;40;honeycomb;220;80;40;pla;100;30;25;1.7
0.06;6;80;grid;220;60;60;abs;0;75;37;2.4
0.06;2;20;honeycomb;225;65;60;abs;25;92;12;1.4
0.06;10;50;grid;230;70;60;abs;50;118;16;1.3
0.06;6;10;honeycomb;240;75;60;abs;75;200;9;0.8
0.06;3;50;grid;250;80;60;abs;100;220;10;1
0.06;10;90;honeycomb;200;60;60;pla;0;126;27;2.2
0.06;3;40;grid;205;65;60;pla;25;145;23;1.9
0.06;8;30;honeycomb;210;70;60;pla;50;88;26;1.6
0.06;5;80;grid;215;75;60;pla;75;92;33;2.1
0.06;10;50;honeycomb;220;80;60;pla;100;74;29;2
0.1;1;40;grid;220;60;120;abs;0;120;16;1.2
0.1;2;30;honeycomb;225;65;120;abs;25;144;12;1.1
0.1;1;50;grid;230;70;120;abs;50;265;10;0.9
0.1;9;80;honeycomb;240;75;120;abs;75;312;19;0.8
0.1;2;60;grid;250;80;120;abs;100;368;8;0.4
0.1;1;50;honeycomb;200;60;120;pla;0;180;11;1.6
0.1;4;40;grid;205;65;120;pla;25;176;12;1.2
0.1;3;50;honeycomb;210;70;120;pla;50;128;18;1.8
0.1;4;90;grid;215;75;120;pla;75;138;34;2.9
0.1;1;30;honeycomb;220;80;120;pla;100;121;14;1.5
0.15;4;50;grid;220;60;60;abs;0;168;27;2.4
0.15;7;10;honeycomb;225;65;60;abs;25;154;19;1.8
0.15;6;50;grid;230;70;60;abs;50;225;18;1.4
0.15;1;50;honeycomb;240;75;60;abs;75;289;9;0.6
0.15;7;80;grid;250;80;60;abs;100;326;13;0.7
0.15;3;80;honeycomb;200;60;60;pla;0;192;33;2.8
0.15;4;50;grid;205;65;60;pla;25;212;24;1.8
0.15;10;30;honeycomb;210;70;60;pla;50;168;26;2.1
0.15;6;40;grid;215;75;60;pla;75;172;22;2.3
0.15;1;10;honeycomb;220;80;60;pla;100;163;4;0.7
0.2;4;80;grid;220;60;40;abs;0;212;35;3.3
0.2;9;90;honeycomb;225;65;40;abs;25;276;34;3.1
0.2;7;30;grid;230;70;40;abs;50;298;28;2.2
0.2;6;90;honeycomb;240;75;40;abs;75;360;28;1.6
0.2;3;80;grid;250;80;40;abs;100;357;21;1.1
0.2;5;60;honeycomb;200;60;40;pla;0;321;28;2.7
0.2;4;20;grid;205;65;40;pla;25;265;14;1.8
0.2;5;60;honeycomb;210;70;40;pla;50;278;30;3.2
0.2;7;40;grid;215;75;40;pla;75;244;29;3.2
0.2;3;60;honeycomb;220;80;40;pla;100;220;27;3.1
